"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Sympétrum méridional  ( Sympetrum meridionale )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65339	"Sympetrum meridionale"	"Sympetrum meridionale (Selys, 1841)"	"Sympétrum méridional (Le)"	"LC"	""	"LC"	""									
"Sympétrum fascié  ( Sympetrum striolatum )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65344	"Sympetrum striolatum"	"Sympetrum striolatum (Charpentier, 1840)"	"Sympétrum fascié (Le)"	"LC"	""	"LC"	""									
"Sympétrum vulgaire  ( Sympetrum vulgatum )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65348	"Sympetrum vulgatum"	"Sympetrum vulgatum (Linnaeus, 1758)"	"Sympétrum vulgaire (Le)"	"NT"	"pr. A2c"	"DD"	""									
"Leucorrhine douteuse  ( Leucorrhinia dubia )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65352	"Leucorrhinia dubia"	"Leucorrhinia dubia (Vander Linden, 1825)"	"Leucorrhine douteuse (La)"	"NT"	"pr. B2b(iii)"											
"*  Leucorrhine à gros thorax  ( Leucorrhinia pectoralis )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65356	"Leucorrhinia pectoralis"	"Leucorrhinia pectoralis (Charpentier, 1825)"	"Leucorrhine à gros thorax (La)"	"NT"	"pr. B2b(iii)"	"NA"	""	"CDH4, CDH2"	" "	"NI2"	""					
"Leucorrhine rubiconde  ( Leucorrhinia rubicunda )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65358	"Leucorrhinia rubicunda"	"Leucorrhinia rubicunda (Linnaeus, 1758)"	"Leucorrhine rubiconde (La)"	"RE"	""											
"*  Leucorrhine à large queue  ( Leucorrhinia caudalis )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65361	"Leucorrhinia caudalis"	"Leucorrhinia caudalis (Charpentier, 1840)"	"Leucorrhine à large queue (La)"	"LC"	""			"CDH4"	""	"NI2"	""					
"*  Leucorrhine à front blanc  ( Leucorrhinia albifrons )"	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	65366	"Leucorrhinia albifrons"	"Leucorrhinia albifrons (Burmeister, 1839)"	"Leucorrhine à front blanc (La)"	"NT"	"pr. B2b(iii)"			"CDH4"	""	"NI2"	""					
"Cordulie bronzée  ( Cordulia aenea )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	65376	"Cordulia aenea"	"Cordulia aenea (Linnaeus, 1758)"	"Cordulie bronzée (La)"	"LC"	""	"LC"	""									
"*  Cordulie à corps fin  ( Oxygastra curtisii )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	65381	"Oxygastra curtisii"	"Oxygastra curtisii (Dale, 1834)"	"Cordulie à corps fin (La), Oxycordulie à corps fin (L')"	"LC"	""	"NT"	"pr. B2a"	"CDH4, CDH2"	" "	"NI2"	""					
"*  Cordulie splendide  ( Macromia splendens )"	"Arthropoda"	"Insecta"	"Odonata"	"Macromiidae"	65384	"Macromia splendens"	"Macromia splendens (Pictet, 1843)"	"Cordulie splendide (La)"	"VU"	"B2ab(iii)"			"CDH2, CDH4"	" "	"NI2"	""					
"Épithèque bimaculée  ( Epitheca bimaculata )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	65387	"Epitheca bimaculata"	"Epitheca bimaculata (Charpentier, 1825)"	"Épithèque bimaculée (L'), Cordulie à deux taches (La)"	"LC"	""											
"Cordulie alpestre  ( Somatochlora alpestris )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	65391	"Somatochlora alpestris"	"Somatochlora alpestris (Selys, 1840)"	"Cordulie alpestre (La)"	"NT"	"pr. B2b(iii)"											
"Cordulie métallique  ( Somatochlora metallica )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	65393	"Somatochlora metallica"	"Somatochlora metallica (Vander Linden, 1825)"	"Cordulie métallique (La)"	"LC"	""	"VU"	"D2"									
"Cordulie à taches jaunes  ( Somatochlora flavomaculata )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	65395	"Somatochlora flavomaculata"	"Somatochlora flavomaculata (Vander Linden, 1825)"	"Cordulie à taches jaunes (La)"	"LC"	""	"CR"	"B2ab(ii, iii)"									
"Cordulie arctique  ( Somatochlora arctica )"	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	65397	"Somatochlora arctica"	"Somatochlora arctica (Zetterstedt, 1840)"	"Cordulie arctique (La)"	"NT"	"pr. B2b(iii)"											
"Aeschne paisible  ( Boyeria irene )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65412	"Boyeria irene"	"Boyeria irene (Boyer de Fonscolombe, 1838)"	"Aeschne paisible (L')"	"LC"	""	"LC"	""									
"Aeschne printanière  ( Brachytron pratense )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65415	"Brachytron pratense"	"Brachytron pratense (O.F. Müller, 1764)"	"Aeschne printanière (L')"	"LC"	""	"NT"	"pr. B2b(iii)"									
"Aeschne des joncs  ( Aeshna juncea )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65425	"Aeshna juncea"	"Aeshna juncea (Linnaeus, 1758)"	"Aeschne des joncs"	"NT"	"VU A2c (-1)"											
"-  ( Aeshna subarctica )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65432	"Aeshna subarctica"	"Aeshna subarctica Walker, 1908"	""	"NT"	"pr. B(1+2)b(iii,iv)"											
"Aeschne azurée  ( Aeshna caerulea )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65435	"Aeshna caerulea"	"Aeshna caerulea (Ström, 1783)"	"Aeschne azurée"	"VU"	"D2"											
"Aeschne bleue  ( Aeshna cyanea )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65440	"Aeshna cyanea"	"Aeshna cyanea (O.F. Müller, 1764)"	"Aeschne bleue (L')"	"LC"	""	"LC"	""									
"Grande Aeschne  ( Aeshna grandis )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65446	"Aeshna grandis"	"Aeshna grandis (Linnaeus, 1758)"	"Grande Aeschne (La)"	"LC"	""	"NT"	"pr. B2b(iii)"									
"Aeschne mixte  ( Aeshna mixta )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65451	"Aeshna mixta"	"Aeshna mixta Latreille, 1805"	"Aeschne mixte"	"LC"	""	"LC"	""									
"Aeschne affine  ( Aeshna affinis )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65456	"Aeshna affinis"	"Aeshna affinis Vander Linden, 1820"	"Aeschne affine"	"LC"	""	"LC"	""									
"Anax porte-selle  ( Hemianax ephippiger )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65467	"Hemianax ephippiger"	"Hemianax ephippiger (Burmeister, 1839)"	"Anax porte-selle (L')"			"NA"	""									
"Anax empereur  ( Anax imperator )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65473	"Anax imperator"	"Anax imperator Leach, 1815"	"Anax empereur (L')"	"LC"	""	"LC"	""									
"Anax napolitain  ( Anax parthenope )"	"Arthropoda"	"Insecta"	"Odonata"	"Aeshnidae"	65477	"Anax parthenope"	"Anax parthenope (Selys, 1839)"	"Anax napolitain (L')"	"LC"	""	"LC"	""									
"Cordulégastre bidenté  ( Cordulegaster bidentata )"	"Arthropoda"	"Insecta"	"Odonata"	"Cordulegastridae"	199685	"Cordulegaster bidentata"	"Cordulegaster bidentata Selys, 1843"	"Cordulégastre bidenté (Le)"	"LC"	""											
