"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Decticelle aptère  ( Pholidoptera aptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65735	"Pholidoptera aptera"	"Pholidoptera aptera (Fabricius, 1793)"	"Decticelle aptère, Sauterelle aptère"			"NT"	"pr. D2"									
"Decticelle des roselières   ( Pholidoptera femorata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65737	"Pholidoptera femorata"	"Pholidoptera femorata (Fieber, 1853)"	"Decticelle des roselières , Decticelle des friches"			"LC"	""									"Continentale – Massif central : Selon les résultats de la zone méditer-ranéenne"
"Decticelle cendrée  ( Pholidoptera griseoaptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65740	"Pholidoptera griseoaptera"	"Pholidoptera griseoaptera (De Geer, 1773)"	"Decticelle cendrée, Ptérolèpe aptère"			"LC"	""									
"Decticelle splendide  ( Eupholidoptera chabrieri )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65743	"Eupholidoptera chabrieri"	"Eupholidoptera chabrieri (Charpentier, 1825)"	"Decticelle splendide"			"LC"	""									
"Decticelle montagnarde  ( Anonconotus alpinus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65748	"Anonconotus alpinus"	"Anonconotus alpinus (Yersin, 1858)"	"Decticelle montagnarde, Analote des Alpes"			"LC"	""									
"Decticelle frêle  ( Yersinella raymondii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65752	"Yersinella raymondii"	"Yersinella raymondii (Yersin, 1860)"	"Decticelle frêle"			"LC"	""									"Continentale – Massif central : Déterminante"
"Decticelle varoise  ( Rhacocleis poneli )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65759	"Rhacocleis poneli"	"Rhacocleis poneli Harz & Voisin, 1987"	"Decticelle varoise"			"DD"	""									
"Antaxie marbrée  ( Antaxius pedestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65765	"Antaxius pedestris"	"Antaxius pedestris (Fabricius, 1787)"	"Antaxie marbrée, Antaxie commune, Decticelle marbrée"			"LC"	""									
"Antaxie cévenole  ( Antaxius sorrezensis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65767	"Antaxius sorrezensis"	"Antaxius sorrezensis (Marquet, 1877)"	"Antaxie cévenole"			"LC"	""									"Continentale – Massif central : Déterminante"
"Dectique des brandes  ( Gampsocleis glabra )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65771	"Gampsocleis glabra"	"Gampsocleis glabra (Herbst, 1786)"	"Dectique des brandes"			"VU"	"B2ab(iii)"									"Continentale – Massif central : Déterminante"
