"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN_N"	"LRN_N_det"	"LRN_H"	"LRN_H_det"	"LRN_P"	"LRN_P_det"	"LRR_N"	"LRR_N_det"	"LRR_H"	"LRR_H_det"	"LRR_P"	"LRR_P_det"	"DO"	"DO_det"	"PN"	"PN_det"	"ZNIEFF"
"*  Petit Gravelot  ( Charadrius dubius )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3136	"Charadrius dubius"	"Charadrius dubius Scopoli, 1786"	"Petit Gravelot"	"LC"	""			"NA"	"c"	"NT"	"VU (D1) (-1)"							"NO3"	""	
"*  Grand Gravelot  ( Charadrius hiaticula )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3140	"Charadrius hiaticula"	"Charadrius hiaticula Linnaeus, 1758"	"Grand Gravelot"	"VU"	"D1"	"LC"	""	"NA"	"d"									"NO3"	""	
"*  Gravelot à collier interrompu  ( Charadrius alexandrinus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3142	"Charadrius alexandrinus"	"Charadrius alexandrinus Linnaeus, 1758"	"Gravelot à collier interrompu, Gravelot de Kent"	"VU"	"B2b(i,ii,iii)c(iv)"	"NA"	"c"	"NA"	"d"	"EN"	"C2a(i)"					"CDO1"	""	"NO3"	""	"Déterminante à critère - 8 couples avec preuve de reproduction"
"*  Gravelot kildir  ( Charadrius vociferus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3144	"Charadrius vociferus"	"Charadrius vociferus Linnaeus, 1758"	"Gravelot kildir, Pluvier kildir"					"NA"	"b"									"NO4"	""	
"*  Gravelot mongol  ( Charadrius mongolus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3146	"Charadrius mongolus"	"Charadrius mongolus Pallas, 1776"	"Gravelot mongol, Pluvier mongol, Pluvier de Mongolie"					"NA"	"b"									"NO4"	""	
"*  Gravelot de Leschenault  ( Charadrius leschenaultii )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3148	"Charadrius leschenaultii"	"Charadrius leschenaultii Lesson, 1826"	"Gravelot de Leschenault, Pluvier de Leschenault"					"NA"	"b"									"NO4"	""	
"*  Gravelot asiatique  ( Charadrius asiaticus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3150	"Charadrius asiaticus"	"Charadrius asiaticus Pallas, 1773"	"Gravelot asiatique, Pluvier asiatique"					"NA"	"b"									"NO4"	""	
"*  Guignard d'Eurasie  ( Eudromias morinellus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3153	"Eudromias morinellus"	"Eudromias morinellus (Linnaeus, 1758)"	"Guignard d'Eurasie, Pluvier guignard"	"RE"	""			"NT"	"pr. A2b"	"RE"	""					"CDO1"	""	"NO3"	""	"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Pluvier bronzé  ( Pluvialis dominica )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3158	"Pluvialis dominica"	"Pluvialis dominica (Statius Müller, 1776)"	"Pluvier bronzé, Pluvier doré"					"NA"	"b"									"NO4"	""	
"Pluvier doré  ( Pluvialis apricaria )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3161	"Pluvialis apricaria"	"Pluvialis apricaria (Linnaeus, 1758)"	"Pluvier doré"			"LC"	""									"CDO22, CDO32, CDO1"	"  "			
"-  ( Pluvialis apricaria altifrons )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3164	"Pluvialis apricaria altifrons"	"Pluvialis apricaria altifrons (Brehm, 1831)"	""													"CDO32, CDO22, CDO1"	"  "			
"Pluvier argenté  ( Pluvialis squatarola )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3165	"Pluvialis squatarola"	"Pluvialis squatarola (Linnaeus, 1758)"	"Pluvier argenté"			"LC"	""	"NA"	"d"							"CDO22"	""			
"*  Pluvier fauve  ( Pluvialis fulva )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3170	"Pluvialis fulva"	"Pluvialis fulva (Gmelin, 1789)"	"Pluvier fauve"					"NA"	"b"									"NO4"	""	
"*  Vanneau sociable  ( Vanellus gregarius )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3181	"Vanellus gregarius"	"Vanellus gregarius (Pallas, 1771)"	"Vanneau sociable"					"NA"	"b"									"NO4"	""	
"*  Vanneau à queue blanche  ( Vanellus leucurus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3185	"Vanellus leucurus"	"Vanellus leucurus (Lichtenstein, 1823)"	"Vanneau à queue blanche"					"NA"	"b"									"NO4"	""	
"Vanneau huppé  ( Vanellus vanellus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	3187	"Vanellus vanellus"	"Vanellus vanellus (Linnaeus, 1758)"	"Vanneau huppé"	"NT"	"pr. A2b"	"LC"	""	"NA"	"d"	"EN"	"D1"					"CDO22"	""			"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"Bécasseau maubèche  ( Calidris canutus )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3192	"Calidris canutus"	"Calidris canutus (Linnaeus, 1758)"	"Bécasseau maubèche"			"NT"	"pr. D2"	"DD"	""							"CDO22"	""			
"*  Bécasseau sanderling  ( Calidris alba )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3195	"Calidris alba"	"Calidris alba (Pallas, 1764)"	"Bécasseau sanderling"			"LC"	""	"NA"	"c"									"NO3"	""	
"*  Bécasseau semipalmé  ( Calidris pusilla )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3199	"Calidris pusilla"	"Calidris pusilla (Linnaeus, 1766)"	"Bécasseau semipalmé"					"NA"	"b"									"NO4"	""	
"*  Bécasseau d'Alaska  ( Calidris mauri )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3203	"Calidris mauri"	"Calidris mauri (Cabanis, 1857)"	"Bécasseau d'Alaska"					"NA"	"b"									"NO4"	""	
"*  Bécasseau minute  ( Calidris minuta )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3206	"Calidris minuta"	"Calidris minuta (Leisler, 1812)"	"Bécasseau minute"			"NA"	"c"	"LC"	""									"NO3"	""	
"*  Bécasseau de Temminck  ( Calidris temminckii )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3210	"Calidris temminckii"	"Calidris temminckii (Leisler, 1812)"	"Bécasseau de Temminck"					"NA"	"c"									"NO3"	""	
"*  Bécasseau minuscule  ( Calidris minutilla )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3214	"Calidris minutilla"	"Calidris minutilla (Vieillot, 1819)"	"Bécasseau minuscule"					"NA"	"b"									"NO4"	""	
"*  Bécasseau de Bonaparte  ( Calidris fuscicollis )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3218	"Calidris fuscicollis"	"Calidris fuscicollis (Vieillot, 1819)"	"Bécasseau de Bonaparte, Bécasseau à croupion blanc"					"NA"	"b"									"NO4"	""	
"*  Bécasseau de Baird  ( Calidris bairdii )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3222	"Calidris bairdii"	"Calidris bairdii (Coues, 1861)"	"Bécasseau de Baird"					"NA"	"b"									"NO4"	""	
"*  Bécasseau tacheté  ( Calidris melanotos )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3226	"Calidris melanotos"	"Calidris melanotos (Vieillot, 1819)"	"Bécasseau tacheté, Bécasseau à poitrine cendrée"					"NA"	"b"									"NO4"	""	
"*  Bécasseau à queue pointue  ( Calidris acuminata )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3231	"Calidris acuminata"	"Calidris acuminata (Horsfield, 1821)"	"Bécasseau à queue pointue"					"NA"	"b"									"NO4"	""	
"*  Tournepierre à collier  ( Arenaria interpres )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3239	"Arenaria interpres"	"Arenaria interpres (Linnaeus, 1758)"	"Tournepierre à collier, Pluvier des Salines"			"LC"	""	"NA"	"d"									"NO3"	""	
"*  Phalarope à bec étroit  ( Phalaropus lobatus )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3243	"Phalaropus lobatus"	"Phalaropus lobatus (Linnaeus, 1758)"	"Phalarope à bec étroit"					"NA"	"b"							"CDO1"	""	"NO3"	""	
"*  Phalarope de Wilson  ( Steganopus tricolor )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3249	"Steganopus tricolor"	"Steganopus tricolor Vieillot, 1819"	"Phalarope de Wilson"					"NA"	"b"									"NO4"	""	
"*  Phalarope à bec large  ( Phalaropus fulicarius )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	3250	"Phalaropus fulicarius"	"Phalaropus fulicarius (Linnaeus, 1758)"	"Phalarope à bec large"					"NA"	"d"									"NO4"	""	
"*  Labbe pomarin  ( Stercorarius pomarinus )"	"Chordata"	"Aves"	"Charadriiformes"	"Stercorariidae"	3255	"Stercorarius pomarinus"	"Stercorarius pomarinus (Temminck, 1815)"	"Labbe pomarin"			"NA"	"d"	"LC"	""									"NO4"	""	
"*  Labbe parasite  ( Stercorarius parasiticus )"	"Chordata"	"Aves"	"Charadriiformes"	"Stercorariidae"	3258	"Stercorarius parasiticus"	"Stercorarius parasiticus (Linnaeus, 1758)"	"Labbe parasite"			"NA"	"d"	"LC"	""									"NO4"	""	
"*  Labbe à longue queue  ( Stercorarius longicaudus )"	"Chordata"	"Aves"	"Charadriiformes"	"Stercorariidae"	3261	"Stercorarius longicaudus"	"Stercorarius longicaudus Vieillot, 1819"	"Labbe à longue queue"					"VU"	"D1"									"NO4"	""	
"*  Grand Labbe  ( Stercorarius skua )"	"Chordata"	"Aves"	"Charadriiformes"	"Stercorariidae"	3263	"Stercorarius skua"	"Stercorarius skua (Brünnich, 1764)"	"Grand Labbe"			"NA"	"d"	"LC"	""									"NO4"	""	
"*  Goéland à bec cerclé  ( Larus delawarensis )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3278	"Larus delawarensis"	"Larus delawarensis Ord, 1815"	"Goéland à bec cerclé"					"NA"	"b"									"NO4"	""	
"*  Goéland pontique  ( Larus cachinnans )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3289	"Larus cachinnans"	"Larus cachinnans Pallas, 1811"	"Goéland pontique"			"NA"	"c"									"CDO22"	""	"NO4"	""	
"*  Goéland cendré  ( Larus canus )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3293	"Larus canus"	"Larus canus Linnaeus, 1758"	"Goéland cendré"	"EN"	"D"	"LC"	""									"CDO22"	""	"NO3"	""	
"*  Goéland brun  ( Larus fuscus )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3297	"Larus fuscus"	"Larus fuscus Linnaeus, 1758"	"Goéland brun"	"LC"	""	"LC"	""	"NA"	"c"	"NA"	"b"					"CDO22"	""	"NO3"	""	
"*  Goéland de la Baltique  ( Larus fuscus fuscus )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3299	"Larus fuscus fuscus"	"Larus fuscus fuscus Linnaeus, 1758"	"Goéland de la Baltique"													"CDO22"	""	"NO3"	""	
"*  Goéland brun  ( Larus fuscus graellsii )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3300	"Larus fuscus graellsii"	"Larus fuscus graellsii Brehm, 1857"	"Goéland brun"													"CDO22"	""	"NO3"	""	
"*  -  ( Larus fuscus intermedius )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3301	"Larus fuscus intermedius"	"Larus fuscus intermedius Schioler, 1922"	""													"CDO22"	""	"NO3"	""	
"*  Goéland argenté  ( Larus argentatus )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3302	"Larus argentatus"	"Larus argentatus Pontoppidan, 1763"	"Goéland argenté"	"NT"	"pr. A2a"	"NA"	"c"									"CDO22"	""	"NO3"	""	
"*  Goéland à ailes blanches  ( Larus glaucoides )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3307	"Larus glaucoides"	"Larus glaucoides Meyer, 1822"	"Goéland à ailes blanches, Goéland arctique"					"NA"	"b"									"NO4"	""	
"*  Goéland bourgmestre  ( Larus hyperboreus )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3309	"Larus hyperboreus"	"Larus hyperboreus Gunnerus, 1767"	"Goéland bourgmestre"			"NA"	"c"											"NO4"	""	
"*  Goéland marin  ( Larus marinus )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3311	"Larus marinus"	"Larus marinus Linnaeus, 1758"	"Goéland marin"	"LC"	""	"NA"	"c"	"NA"	"c"							"CDO22"	""	"NO3"	""	
"*  Mouette de Ross  ( Rhodostethia rosea )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3314	"Rhodostethia rosea"	"Rhodostethia rosea (MacGillivray, 1824)"	"Mouette de Ross"					"NA"	"b"									"NO4"	""	
"*  Mouette tridactyle  ( Rissa tridactyla )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3318	"Rissa tridactyla"	"Rissa tridactyla (Linnaeus, 1758)"	"Mouette tridactyle"	"VU"	"D2"	"NA"	"d"	"DD"	""									"NO3"	""	
"*  Mouette blanche  ( Pagophila eburnea )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3322	"Pagophila eburnea"	"Pagophila eburnea (Phipps, 1774)"	"Mouette blanche, Mouette ivoire, Goéland sénateur"					"NA"	"b"									"NO4"	""	
"*  Sterne hansel  ( Gelochelidon nilotica )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3332	"Gelochelidon nilotica"	"Gelochelidon nilotica (Gmelin, 1789)"	"Sterne hansel"	"VU"	"EN B2ac(iv) (-1)"			"NA"	"d"	"VU"	"D2"					"CDO1"	""	"NO3"	""	"Déterminante à critère - 1 couple avec preuve de reproduction"
"*  Sterne caspienne  ( Hydroprogne caspia )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3336	"Hydroprogne caspia"	"Hydroprogne caspia (Pallas, 1770)"	"Sterne caspienne"					"NT"	"pr. D1"							"CDO1"	""	"NO3"	""	
"*  Sterne pierregarin  ( Sterna hirundo )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3343	"Sterna hirundo"	"Sterna hirundo Linnaeus, 1758"	"Sterne pierregarin"	"LC"	""	"NA"	"d"	"LC"	""	"LC"	""					"CDO1"	""	"NO3"	""	"Déterminante à critère - 16 couples avec preuve de reproduction"
"*  Sterne arctique  ( Sterna paradisaea )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3345	"Sterna paradisaea"	"Sterna paradisaea Pontoppidan, 1763"	"Sterne arctique"	"CR"	"B2b(iii)c(ii,iii,iv) D"			"LC"	""							"CDO1"	""	"NO3"	""	
"*  Sterne naine  ( Sternula albifrons )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3352	"Sternula albifrons"	"Sternula albifrons (Pallas, 1764)"	"Sterne naine"	"LC"	""			"LC"	""	"EN"	"B(1+2)b(iii)c(iv)"					"CDO1"	""	"NO3"	""	"Déterminante à critère - 15 couples avec preuve de reproduction"
"*  Sterne élégante  ( Thalasseus elegans )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3356	"Thalasseus elegans"	"Thalasseus elegans (Gambel, 1849)"	"Sterne élégante"					"NA"	"b"									"NO4"	""	
"*  Sterne voyageuse  ( Thalasseus bengalensis )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3359	"Thalasseus bengalensis"	"Thalasseus bengalensis (Lesson, 1831)"	"Sterne voyageuse"					"NA"	"b"									"NO4"	""	
"*  Sterne caugek  ( Thalasseus sandvicensis )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3362	"Thalasseus sandvicensis"	"Thalasseus sandvicensis (Latham, 1787)"	"Sterne caugek"	"NT"	"pr. B2b(iii) D2"	"NA"	"c"	"LC"	""	"VU"	"D2"					"CDO1"	""	"NO3"	""	"Déterminante à critère - 13 couples avec preuve de reproduction"
"*  Sterne de Dougall  ( Sterna dougallii )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3364	"Sterna dougallii"	"Sterna dougallii Montagu, 1813"	"Sterne de Dougall"	"CR"	"B2b(v)c(iii,iv) C2a(i)b"			"NT"	"pr. D1"							"CDO1"	""	"NO3"	""	
"*  Guifette noire  ( Chlidonias niger )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3371	"Chlidonias niger"	"Chlidonias niger (Linnaeus, 1758)"	"Guifette noire"	"EN"	"C1"			"DD"	""	"RE"	""					"CDO1"	""	"NO3"	""	
"*  Guifette leucoptère  ( Chlidonias leucopterus )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	3374	"Chlidonias leucopterus"	"Chlidonias leucopterus (Temminck, 1815)"	"Guifette leucoptère"	"NA"	"b"			"NA"	"c"									"NO4"	""	
"*  Guillemot de Troïl  ( Uria aalge )"	"Chordata"	"Aves"	"Charadriiformes"	"Alcidae"	3379	"Uria aalge"	"Uria aalge (Pontoppidan, 1763)"	"Guillemot de Troïl"	"EN"	"B2ab(iii)"	"DD"	""	"NA"	"d"							"CDO1"	""	"NO3"	""	
"*  Guillemot de Brünnich  ( Uria lomvia )"	"Chordata"	"Aves"	"Charadriiformes"	"Alcidae"	3382	"Uria lomvia"	"Uria lomvia (Linnaeus, 1758)"	"Guillemot de Brünnich"					"NA"	"b"									"NO4"	""	
"*  Pingouin torda  ( Alca torda )"	"Chordata"	"Aves"	"Charadriiformes"	"Alcidae"	3388	"Alca torda"	"Alca torda Linnaeus, 1758"	"Pingouin torda, Petit pingouin"	"CR"	"B2ab(iii)"	"DD"	""											"NO3"	""	
"*  Guillemot à miroir  ( Cepphus grylle )"	"Chordata"	"Aves"	"Charadriiformes"	"Alcidae"	3392	"Cepphus grylle"	"Cepphus grylle (Linnaeus, 1758)"	"Guillemot à miroir"			"NA"	"c"											"NO4"	""	
"*  Mergule nain  ( Alle alle )"	"Chordata"	"Aves"	"Charadriiformes"	"Alcidae"	3396	"Alle alle"	"Alle alle (Linnaeus, 1758)"	"Mergule nain"			"NA"	"c"											"NO4"	""	
"*  Macareux moine  ( Fratercula arctica )"	"Chordata"	"Aves"	"Charadriiformes"	"Alcidae"	3402	"Fratercula arctica"	"Fratercula arctica (Linnaeus, 1758)"	"Macareux moine"	"CR"	"A2a B2ab(iii,v)"	"NA"	"d"											"NO3"	""	
"*  Ganga cata  ( Pterocles alchata )"	"Chordata"	"Aves"	"Pterocliformes"	"Pteroclidae"	3408	"Pterocles alchata"	"Pterocles alchata (Linnaeus, 1766)"	"Ganga cata"	"CR"	"B1ab(iii,v)"					"RE"	""					"CDO1"	""	"NO3"	""	
"*  Syrrhapte paradoxal  ( Syrrhaptes paradoxus )"	"Chordata"	"Aves"	"Pterocliformes"	"Pteroclidae"	3415	"Syrrhaptes paradoxus"	"Syrrhaptes paradoxus (Pallas, 1773)"	"Syrrhapte paradoxal"					"NA"	"b"									"NO4"	""	
"Pigeon biset  ( Columba livia )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3420	"Columba livia"	"Columba livia Gmelin, 1789"	"Pigeon biset"	"DD"	""					"DD"	""					"CDO21"	""			
"Pigeon colombin  ( Columba oenas )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3422	"Columba oenas"	"Columba oenas Linnaeus, 1758"	"Pigeon colombin"	"LC"	""	"NA"	"d"	"NA"	"d"	"VU"	"D1"					"CDO22"	""			
"Pigeon ramier  ( Columba palumbus )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3424	"Columba palumbus"	"Columba palumbus Linnaeus, 1758"	"Pigeon ramier"	"LC"	""	"LC"	""	"NA"	"d"	"LC"	""					"CDO31, CDO21"	" "			
"Tourterelle turque  ( Streptopelia decaocto )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3429	"Streptopelia decaocto"	"Streptopelia decaocto (Frivaldszky, 1838)"	"Tourterelle turque"	"LC"	""			"NA"	"d"	"LC"	""					"CDO22"	""			
"Tourterelle rieuse  ( Streptopelia roseogrisea )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3432	"Streptopelia roseogrisea"	"Streptopelia roseogrisea (Sundevall, 1857)"	"Tourterelle rieuse"							"NA"	"a"									
"*  Tourterelle maillée  ( Streptopelia senegalensis )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3435	"Streptopelia senegalensis"	"Streptopelia senegalensis (Linnaeus, 1766)"	"Tourterelle maillée"															"NO4"	""	
"Tourterelle des bois  ( Streptopelia turtur )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3439	"Streptopelia turtur"	"Streptopelia turtur (Linnaeus, 1758)"	"Tourterelle des bois"	"VU"	"A2b"			"NA"	"c"	"LC"	""					"CDO22"	""			
"*  Tourterelle orientale  ( Streptopelia orientalis )"	"Chordata"	"Aves"	"Columbiformes"	"Columbidae"	3442	"Streptopelia orientalis"	"Streptopelia orientalis (Latham, 1790)"	"Tourterelle orientale"					"NA"	"b"									"NO4"	""	
"Perruche à collier  ( Psittacula krameri )"	"Chordata"	"Aves"	"Psittaciformes"	"Psittaculidae"	3448	"Psittacula krameri"	"Psittacula krameri (Scopoli, 1769)"	"Perruche à collier"	"NA"	"a"					"NA"	"a"									
"*  Coucou geai  ( Clamator glandarius )"	"Chordata"	"Aves"	"Cuculiformes"	"Cuculidae"	3461	"Clamator glandarius"	"Clamator glandarius (Linnaeus, 1758)"	"Coucou geai"	"LC"	""					"NT"	"pr. D1"							"NO3"	""	
"*  Coucou gris  ( Cuculus canorus )"	"Chordata"	"Aves"	"Cuculiformes"	"Cuculidae"	3465	"Cuculus canorus"	"Cuculus canorus Linnaeus, 1758"	"Coucou gris"	"LC"	""			"DD"	""	"LC"	""							"NO3"	""	
"*  Coulicou à bec jaune  ( Coccyzus americanus )"	"Chordata"	"Aves"	"Cuculiformes"	"Cuculidae"	3476	"Coccyzus americanus"	"Coccyzus americanus (Linnaeus, 1758)"	"Coulicou à bec jaune, Coucou à bec jaune"					"NA"	"b"									"NO4"	""	
"*  Effraie des clochers  ( Tyto alba )"	"Chordata"	"Aves"	"Strigiformes"	"Tytonidae"	3482	"Tyto alba"	"Tyto alba (Scopoli, 1769)"	"Effraie des clochers, Chouette effraie"	"LC"	""					"EN"	"C2a(i)"							"NO3"	""	
"*  Petit-duc scops  ( Otus scops )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3489	"Otus scops"	"Otus scops (Linnaeus, 1758)"	"Petit-duc scops, Hibou petit-duc"	"LC"	""					"NT"	"VU (D1) (-1)"							"NO3"	""	
"*  Grand-duc d'Europe  ( Bubo bubo )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3493	"Bubo bubo"	"Bubo bubo (Linnaeus, 1758)"	"Grand-duc d'Europe"	"LC"	""					"LC"	""					"CDO1"	""	"NO3"	""	"Déterminante à critère - >= 5 couples par 100km² avec preuve de reproduction"
"*  Chouette épervière  ( Surnia ulula )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3503	"Surnia ulula"	"Surnia ulula (Linnaeus, 1758)"	"Chouette épervière"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Chevêchette d'Europe  ( Glaucidium passerinum )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3507	"Glaucidium passerinum"	"Glaucidium passerinum (Linnaeus, 1758)"	"Chevêchette d'Europe, Chouette chevêchette"	"NT"	"pr. D1"											"CDO1"	""	"NO3"	""	
"*  Chevêche d'Athéna  ( Athene noctua )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3511	"Athene noctua"	"Athene noctua (Scopoli, 1769)"	"Chevêche d'Athéna, Chouette chevêche"	"LC"	""					"NT"	"pr. C1"							"NO3"	""	
"*  Chouette hulotte  ( Strix aluco )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3518	"Strix aluco"	"Strix aluco Linnaeus, 1758"	"Chouette hulotte"	"LC"	""	"NA"	"c"			"LC"	""							"NO3"	""	
"*  Hibou moyen-duc  ( Asio otus )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3522	"Asio otus"	"Asio otus (Linnaeus, 1758)"	"Hibou moyen-duc"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""							"NO3"	""	
"*  Hibou des marais  ( Asio flammeus )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3525	"Asio flammeus"	"Asio flammeus (Pontoppidan, 1763)"	"Hibou des marais"	"VU"	"EN D (-1)"	"NA"	"c"	"NA"	"c"	"NA"	"b"					"CDO1"	""	"NO3"	""	
"*  Chouette de Tengmalm  ( Aegolius funereus )"	"Chordata"	"Aves"	"Strigiformes"	"Strigidae"	3533	"Aegolius funereus"	"Aegolius funereus (Linnaeus, 1758)"	"Chouette de Tengmalm, Nyctale de Tengmalm"	"LC"	""					"VU"	"EN (D1) (-1)"					"CDO1"	""	"NO3"	""	
"*  Engoulevent d'Europe  ( Caprimulgus europaeus )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Caprimulgidae"	3540	"Caprimulgus europaeus"	"Caprimulgus europaeus Linnaeus, 1758"	"Engoulevent d'Europe"	"LC"	""			"NA"	"c"	"LC"	""					"CDO1"	""	"NO3"	""	
"*  Engoulevent à collier roux  ( Caprimulgus ruficollis )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Caprimulgidae"	3544	"Caprimulgus ruficollis"	"Caprimulgus ruficollis Temminck, 1820"	"Engoulevent à collier roux"					"NA"	"b"									"NO4"	""	
"*  Martinet noir  ( Apus apus )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Apodidae"	3551	"Apus apus"	"Apus apus (Linnaeus, 1758)"	"Martinet noir"	"NT"	"pr. A2b"			"DD"	""	"LC"	""							"NO3"	""	
"*  Martinet pâle  ( Apus pallidus )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Apodidae"	3555	"Apus pallidus"	"Apus pallidus (Shelley, 1870)"	"Martinet pâle"	"LC"	""					"LC"	""							"NO3"	""	
"*  Martinet à ventre blanc  ( Tachymarptis melba )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Apodidae"	3561	"Tachymarptis melba"	"Tachymarptis melba (Linnaeus, 1758)"	"Martinet à ventre blanc, Martinet alpin"	"LC"	""					"VU"	""							"NO3"	""	
"*  Martinet cafre  ( Apus caffer )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Apodidae"	3562	"Apus caffer"	"Apus caffer (Lichtenstein, 1823)"	"Martinet cafre"													"CDO1"	""	"NO4"	""	
"*  Martin-pêcheur d'Europe  ( Alcedo atthis )"	"Chordata"	"Aves"	"Coraciiformes"	"Alcedinidae"	3571	"Alcedo atthis"	"Alcedo atthis (Linnaeus, 1758)"	"Martin-pêcheur d'Europe"	"VU"	"A2b"	"NA"	"c"			"NT"	"pr. D1"					"CDO1"	""	"NO3"	""	
"*  Guêpier de Perse  ( Merops persicus )"	"Chordata"	"Aves"	"Coraciiformes"	"Meropidae"	3578	"Merops persicus"	"Merops persicus Pallas, 1773"	"Guêpier de Perse"					"NA"	"b"									"NO4"	""	
