"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Vipère d'Orsini  ( Vipera ursinii )"	"Chordata"	""	"Squamata"	"Viperidae"	78164	"Vipera ursinii"	"Vipera ursinii (Bonaparte, 1835)"	"Vipère d'Orsini (La)"	"EN"	"B2ab(i,ii,iii,iv,v)"			"CDH4, CDH2"	" "	"FRAR2"	""					
"*  Vipère d'Orsini  ( Vipera ursinii ursinii )"	"Chordata"	""	"Squamata"	"Viperidae"	78166	"Vipera ursinii ursinii"	"Vipera ursinii ursinii (Bonaparte, 1835)"	"Vipère d'Orsini (La)"					"CDH2, CDH4"	" "	"FRAR2"	""					
"*  Eulepte d'Europe  ( Euleptes europaea )"	"Chordata"	""	"Squamata"	"Sphaerodactylidae"	79271	"Euleptes europaea"	"Euleptes europaea (Gené, 1839)"	"Eulepte d'Europe (L'), Phyllodactyle d'Europe"	"LC"	""			"CDH4, CDH2"	" "	"FRAR2"	""					
"*  Lézard ocellé  ( Timon lepidus )"	"Chordata"	""	"Squamata"	"Lacertidae"	79273	"Timon lepidus"	"Timon lepidus (Daudin, 1802)"	"Lézard ocellé (Le)"	"VU"	"A4ac"					"FRAR2"	""					
"*  Lézard ocellé  ( Timon lepidus lepidus )"	"Chordata"	""	"Squamata"	"Lacertidae"	79274	"Timon lepidus lepidus"	"Timon lepidus lepidus (Daudin, 1802)"	"Lézard ocellé (Le)"							"FRAR2"	""					
"*  Lézard vivipare  ( Zootoca vivipara )"	"Chordata"	""	"Squamata"	"Lacertidae"	79278	"Zootoca vivipara"	"Zootoca vivipara (Lichtenstein, 1823)"	"Lézard vivipare (Le)"	"LC"	""	"VU"	"A4c"			"FRAR3"	""					
"*  Lézard du Val d'Aran  ( Iberolacerta aranica )"	"Chordata"	""	"Squamata"	"Lacertidae"	79283	"Iberolacerta aranica"	"Iberolacerta aranica (Arribas, 1993)"	"Lézard du Val d'Aran (Le)"	"EN"	"B2ab(iii)"			"CDH4, CDH2"	" "	"FRAR2"	""					
"*  Lézard d'Aurelio  ( Iberolacerta aurelioi )"	"Chordata"	""	"Squamata"	"Lacertidae"	79284	"Iberolacerta aurelioi"	"Iberolacerta aurelioi (Arribas, 1994)"	"Lézard d'Aurelio (Le)"	"EN"	"B2ab(iii)"					"FRAR2"	""					
"*  Lézard de Bonnal  ( Iberolacerta bonnali )"	"Chordata"	""	"Squamata"	"Lacertidae"	79285	"Iberolacerta bonnali"	"Iberolacerta bonnali (Lantz, 1927)"	"Lézard de Bonnal (Le)"	"VU"	"B2ab(iii)"			"CDH2, CDH4"	" "	"FRAR2"	""					
"*  Lézard de Bedriaga  ( Archaeolacerta bedriagae bedriagae )"	"Chordata"	""	"Squamata"	"Lacertidae"	79289	"Archaeolacerta bedriagae bedriagae"	"Archaeolacerta bedriagae bedriagae (Camerano, 1885)"	"Lézard de Bedriaga (Le)"					"CDH4"	""	"FRAR2"	""					
"*  Lézard des souches de Garzon  ( Lacerta agilis garzoni )"	"Chordata"	""	"Squamata"	"Lacertidae"	432579	"Lacerta agilis garzoni"	"Lacerta agilis garzoni Palacios & Castraviejo, 1975"	"Lézard des souches de Garzon (Le)"	"NT"	"pr. B(1+2)a"			"CDH4"	""	"FRAR2"	""					
"*  Lézard catalan  ( Podarcis liolepis )"	"Chordata"	""	"Squamata"	"Lacertidae"	444444	"Podarcis liolepis"	"Podarcis liolepis (Boulenger, 1905)"	"Lézard catalan (Le)"	"LC"	""					"FRAR2"	""					
"*  Couleuvre d'Esculape  ( Zamenis longissimus )"	"Chordata"	""	"Squamata"	"Colubridae"	444446	"Zamenis longissimus"	"Zamenis longissimus (Laurenti, 1768)"	"Couleuvre d'Esculape (La)"	"LC"	""			"CDH4"	""	"FRAR2"	""					
"Lézard sicilien  ( Podarcis siculus )"	"Chordata"	""	"Squamata"	"Lacertidae"	444451	"Podarcis siculus"	"Podarcis siculus (Rafinesque-Schmaltz, 1810)"	"Lézard sicilien (Le), Lézard des ruines"	"NA"	"a"			"CDH4"	""							
