"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Triton alpestre  ( Ichthyosaura alpestris )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	444430	"Ichthyosaura alpestris"	"Ichthyosaura alpestris (Laurenti, 1768)"	"Triton alpestre (Le)"	"LC"	""					"FRAR3"	""					"Déterminante"
"*  Triton ponctué  ( Lissotriton vulgaris )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	444431	"Lissotriton vulgaris"	"Lissotriton vulgaris (Linnaeus, 1758)"	"Triton ponctué (Le)"	"NT"	"pr. A4ac"					"FRAR3"	""					
"*  Triton palmé  ( Lissotriton helveticus )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	444432	"Lissotriton helveticus"	"Lissotriton helveticus (Razoumowsky, 1789)"	"Triton palmé (Le)"	"LC"	""					"FRAR3"	""					
"*  Grenouille de Graf  ( Pelophylax kl. grafi )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	444439	"Pelophylax kl. grafi"	"Pelophylax kl. grafi (Crochet, Dubois, Ohler & Tunner, 1995)"	"Grenouille de Graf (La)"	"NT"	"pr. A2ac"					"FRAR2"	""					
"*  Grenouille verte  ( Pelophylax kl. esculentus )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	444440	"Pelophylax kl. esculentus"	"Pelophylax kl. esculentus (Linnaeus, 1758)"	"Grenouille verte (La), Grenouille commune"	"NT"	"pr. A4ac"			"CDH5"	""	"FRAR4"	""					
"*  Grenouille de Lessona  ( Pelophylax lessonae )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	444441	"Pelophylax lessonae"	"Pelophylax lessonae (Camerano, 1882)"	"Grenouille de Lessona (La)"	"NT"	"pr. A4ac"			"CDH4"	""	"FRAR2"	""					
"*  Grenouille de Pérez  ( Pelophylax perezi )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	444442	"Pelophylax perezi"	"Pelophylax perezi (Seoane, 1885)"	"Grenouille de Pérez (La)"	"NT"	"pr. A2ac"			"CDH5"	""	"FRAR2"	""					
"*  Grenouille rieuse  ( Pelophylax ridibundus )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	444443	"Pelophylax ridibundus"	"Pelophylax ridibundus (Pallas, 1771)"	"Grenouille rieuse (La)"	"LC"	""			"CDH5"	""	"FRAR3"	""					
"*  Crapaud calamite  ( Epidalea calamita )"	"Chordata"	"Amphibia"	"Anura"	"Bufonidae"	459628	"Epidalea calamita"	"Epidalea calamita (Laurenti, 1768)"	"Crapaud calamite (Le)"	"LC"	""			"CDH4"	""	"FRAR2"	""					"Déterminante"
"*  Salamandre de Lanza  ( Salamandra lanzai )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	699127	"Salamandra lanzai"	"Salamandra lanzai (Nascetti, Andreone, Capula & Bullini, 1988)"	"Salamandre de Lanza (La)"	"NT"	"pr. D2"			"CDH4"	""	"FRAR2"	""					
"*  Grenouille de Lessona de Berger  ( Pelophylax lessonae bergeri )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	699198	"Pelophylax lessonae bergeri"	"Pelophylax lessonae bergeri (Günther in Engelmann, Fritzsche, Günther & Obst, 1986)"	"Grenouille de Lessona de Berger (La)"	"LC"	""			"CDH4"	""	"FRAR2"	""					
"*  Grenouille de Lessona  ( Pelophylax lessonae lessonae )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	699199	"Pelophylax lessonae lessonae"	"Pelophylax lessonae lessonae (Camerano, 1882)"	"Grenouille de Lessona (La)"	"NT"	"pr. A4ac"			"CDH4"	""	"FRAR2"	""					
"*  Triton alpestre  ( Ichthyosaura alpestris alpestris )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	699553	"Ichthyosaura alpestris alpestris"	"Ichthyosaura alpestris alpestris (Laurenti, 1768)"	"Triton alpestre (Le)"							"FRAR3"	""					
"*  Triton des Alpes apuanes  ( Ichthyosaura alpestris apuana )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	699558	"Ichthyosaura alpestris apuana"	"Ichthyosaura alpestris apuana (Bonaparte, 1839)"	"Triton des Alpes apuanes (Le)"							"FRAR3"	""					
"*  Triton ponctué  ( Lissotriton vulgaris vulgaris )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	699564	"Lissotriton vulgaris vulgaris"	"Lissotriton vulgaris vulgaris (Linnaeus, 1758)"	"Triton ponctué (Le)"							"FRAR3"	""					
"Triton crêté italien  ( Triturus carnifex carnifex )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	699624	"Triturus carnifex carnifex"	"Triturus carnifex carnifex (Laurenti, 1768)"	"Triton crêté italien (Le)"					"CDH2, CDH4"	" "							
"Discoglosse peint algérien  ( Discoglossus pictus auritus )"	"Chordata"	"Amphibia"	"Anura"	"Discoglossidae"	699628	"Discoglossus pictus auritus"	"Discoglossus pictus auritus Héron-Royer, 1888"	"Discoglosse peint algérien (Le)"					"CDH4"	""							
"*  Triton palmé  ( Lissotriton helveticus helveticus )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	699691	"Lissotriton helveticus helveticus"	"Lissotriton helveticus helveticus (Razoumowsky, 1789)"	"Triton palmé (Le)"							"FRAR3"	""					
"*  Salamandre de Corse  ( Salamandra corsica )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	701817	"Salamandra corsica"	"Salamandra corsica (Savi, 1838)"	"Salamandre de Corse (La)"	"NT"	"pr. B(1+2)b(ii,iii,iv,v)"					"FRAR3"	""					
"*  Salamandre noire  ( Salamandra atra )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	701819	"Salamandra atra"	"Salamandra atra (Laurenti, 1768)"	"Salamandre noire (La)"	"VU"	"D2"					"FRAR2"	""					
"*  Crapaud épineux  ( Bufo spinosus )"	"Chordata"	"Amphibia"	"Anura"	"Bufonidae"	774678	"Bufo spinosus"	"Bufo spinosus (Daudin, 1803)"	"Crapaud épineux (Le)"							"FRAR3"	""					
"*  Rainette ibérique  ( Hyla molleri )"	"Chordata"	"Amphibia"	"Anura"	"Hylidae"	774683	"Hyla molleri"	"Hyla molleri Bedriaga, 1889"	"Rainette ibérique (La)"	"VU"	"B2ab(ii,iii,iv,v)"					"FRAR2"	""					
"*  Crapaud vert  ( Bufotes viridis )"	"Chordata"	"Amphibia"	"Anura"	"Bufonidae"	819822	"Bufotes viridis"	"Bufotes viridis (Laurenti, 1768)"	"Crapaud vert (Le)"	"NT"	"pr. B(1+2)a"			"CDH4"	""	"FRAR2"	""					
"*  Crapaud vert des Baléares  ( Bufotes viridis balearicus )"	"Chordata"	"Amphibia"	"Anura"	"Bufonidae"	819824	"Bufotes viridis balearicus"	"Bufotes viridis balearicus (Boettger, 1880)"	"Crapaud vert des Baléares (Le)"	"LC"	""			"CDH4"	""	"FRAR2"	""					
"*  Crapaud vert  ( Bufotes viridis viridis )"	"Chordata"	"Amphibia"	"Anura"	"Bufonidae"	819825	"Bufotes viridis viridis"	"Bufotes viridis viridis (Laurenti, 1768)"	"Crapaud vert (Le)"	"EN"	"B2ab(iii,iv,v)"			"CDH4"	""	"FRAR2"	""					
"*  Salamandre tachetée hispanique  ( Salamandra salamandra hispanica )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	965031	"Salamandra salamandra hispanica"	"Salamandra salamandra hispanica (Wolterstorff, 1937)"	"Salamandre tachetée hispanique (La)"							"FRAR3"	""					
"*  Salamandre tachetée fastueuse  ( Salamandra salamandra fastuosa )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	965093	"Salamandra salamandra fastuosa"	"Salamandra salamandra fastuosa (Schreiber, 1912)"	"Salamandre tachetée fastueuse (La)"							"FRAR3"	""					
"*  Salamandre tachetée terrestre  ( Salamandra salamandra terrestris )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	965096	"Salamandra salamandra terrestris"	"Salamandra salamandra terrestris (Lacepède, 1788)"	"Salamandre tachetée terrestre (La)"							"FRAR3"	""					"Déterminante"
"-  ( Lithobates catesbeianus )"	"Chordata"	"Amphibia"	"Anura"	"Ranidae"	1040529	"Lithobates catesbeianus"	"Aquarana catesbeiana (Shaw, 1802)"	""	"NA"	"a"											
