"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Grand dytique  ( Dytiscus latissimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9569	"Dytiscus latissimus"	"Dytiscus latissimus Linnaeus, 1758"	"Grand dytique"					"CDH4, CDH2"	" "	"NI2"	""					
"Cerf-volant  ( Lucanus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	10502	"Lucanus cervus"	"Lucanus cervus (Linnaeus, 1758)"	"Cerf-volant (mâle), Biche (femelle), Lucane, Lucane cerf-volant"					"CDH2"	""							"Station planitaire (en dessous de 0400 m d'altitude environ)"
"*  Bolbelasme à une corne  ( Bolbelasmus unicornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Geotrupidae"	10530	"Bolbelasmus unicornis"	"Bolbelasmus unicornis Schrank, 1789"	"Bolbelasme à une corne"					"CDH2, CDH4"	" "	"NI2"	""					
"*  Pique-prune  ( Osmoderma eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10979	"Osmoderma eremita"	"Osmoderma eremita (Scopoli, 1763)"	"Pique-prune, Barbot"					"CDH2, CDH4"	" "	"NI2"	""					"Station planitaire (en dessous de 0400 m d'altitude environ), Rip."
"-  ( Teredus cylindricus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bothrideridae"	11090	"Teredus cylindricus"	"Teredus cylindricus (Olivier, 1790)"	""													"Station planitaire (en dessous de 0400 m d'altitude environ)"
"Eucnème moine  ( Eucnemis capucina )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Eucnemidae"	11402	"Eucnemis capucina"	"Eucnemis capucina Ahrens, 1812"	"Eucnème moine"													"Station planitaire (en dessous de 0400 m d'altitude environ)"
"Grand Taupin roux  ( Elater ferrugineus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11435	"Elater ferrugineus"	"Elater ferrugineus Linnaeus, 1758"	"Grand Taupin roux"													"Station planitaire (en dessous de 0400 m d'altitude environ)"
"Taupin porte-coeur dépassé  ( Cardiophorus gramineus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11487	"Cardiophorus gramineus"	"Cardiophorus gramineus (Scopoli, 1763)"	"Taupin porte-coeur dépassé"													"Station planitaire (en dessous de 0400 m d'altitude environ)"
"-  ( Ampedus melanurus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11509	"Ampedus melanurus"	"Ampedus melanurus Mulsant & Guillebeau, 1855"	""													"Station supra planitaire (au dessus de 0400 m d'altitude environ)"
"-  ( Ampedus nigrinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11510	"Ampedus nigrinus"	"Ampedus nigrinus (Herbst, 1784)"	""													"Station supra planitaire (au dessus de 0400 m d'altitude environ)"
