"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Sauterelle cymbalière  ( Tettigonia cantans )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65869	"Tettigonia cantans"	"Tettigonia cantans (Fuessly, 1775)"	"Sauterelle cymbalière, Sauterelle chanteuse"			"LC"	""									
"Conocéphale bigarré  ( Conocephalus fuscus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65877	"Conocephalus fuscus"	"Conocephalus fuscus (Fabricius, 1793)"	"Conocéphale bigarré, Xiphidion Brun"			"LC"	""									
"Conocéphale des Roseaux  ( Conocephalus dorsalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65878	"Conocephalus dorsalis"	"Conocephalus dorsalis (Latreille, 1804)"	"Conocéphale des Roseaux"			"NT"	"pr. B2b(iii)"									"Continentale – Massif central : Déterminante"
"Conocéphale gracieux  ( Ruspolia nitidula nitidula )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65885	"Ruspolia nitidula nitidula"	"Ruspolia nitidula nitidula (Scopoli, 1786)"	"Conocéphale gracieux"			"LC"	""									
"Méconème tambourinaire  ( Meconema thalassinum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65889	"Meconema thalassinum"	"Meconema thalassinum (De Geer, 1773)"	"Méconème tambourinaire, Méconème varié,  Sauterelle des Chênes"			"LC"	""									
"Méconème fragile  ( Meconema meridionale )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65891	"Meconema meridionale"	"Meconema meridionale A. Costa, 1860"	"Méconème fragile"			"LC"	""									
"Courtilière commune  ( Gryllotalpa gryllotalpa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllotalpidae"	65899	"Gryllotalpa gryllotalpa"	"Gryllotalpa gryllotalpa (Linnaeus, 1758)"	"Courtilière commune, Courtilière, Taupe-Grillon, Perce-chaussée, Taupette, Avant-taupe, Ecrevisse de terre, Loup de terre"			"LC"	""									
"Grillon champêtre  ( Gryllus campestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65910	"Gryllus campestris"	"Gryllus campestris Linnaeus, 1758"	"Grillon champêtre, Grillon des champs, Gril, Riquet, Cricri,Grésillon, Grillon sauvage, Petit Cheval du Bon Dieu, Grill"			"LC"	""									
"Grillon domestique  ( Acheta domesticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65918	"Acheta domesticus"	"Acheta domesticus (Linnaeus, 1758)"	"Grillon domestique, Grillon du foyer, Cri-cri, Grelet, Grillon des maisons, Grillet, Grillot, Crinchon, Guersillon, Petit Cheval du Bon Dieu"			"DD"	""									
"Grillon des torrents  ( Pteronemobius lineolatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65935	"Pteronemobius lineolatus"	"Pteronemobius lineolatus (Brullé, 1835)"	"Grillon des torrents"			"NT"	"pr. B2b(iii)"									"Continentale – Massif central : Déterminante"
