"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Pique-prune  ( Osmoderma eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10979	"Osmoderma eremita"	"Osmoderma eremita (Scopoli, 1763)"	"Pique-prune, Barbot"			"EN"	"B(1+2)ab(i,ii,iii,iv)"	"CDH2, CDH4"	" "	"NI2"	""					
"Gnorime vert  ( Gnorimus nobilis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10981	"Gnorimus nobilis"	"Gnorimus nobilis (Linnaeus, 1758)"	"Gnorime vert"			"NT"	"pr. B1ab(iii)"									
"Gnorime moucheté  ( Gnorimus variabilis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10983	"Gnorimus variabilis"	"Gnorimus variabilis (Linnaeus, 1758)"	"Gnorime moucheté"			"VU"	"B2ab(iii)"									
"Trichie barrée  ( Trichius fasciatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10990	"Trichius fasciatus"	"Trichius fasciatus (Linnaeus, 1758)"	"Trichie barrée, Trichie fasciée"			"LC"	""									
"Cétoine dorée  ( Cetonia aurata )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10992	"Cetonia aurata"	"Cetonia aurata (Linnaeus, 1758)"	"Cétoine dorée (la), Hanneton des roses"			"LC"	""									
"Cétoine verte  ( Eupotosia affinis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10999	"Eupotosia affinis"	"Eupotosia affinis (Andersch, 1797)"	"Cétoine verte"			"VU"	"B2ab(i,ii,iii,iv)"									
"Cétoine noire  ( Netocia morio )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	11008	"Netocia morio"	"Netocia morio (Fabricius, 1781)"	"Cétoine noire (la)"			"NT"	"pr. B1ab(iii)"									
"-  ( Coxelus pictus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Zopheridae"	11075	"Coxelus pictus"	"Coxelus pictus (Sturm, 1807)"	""			"LC"	""									
"-  ( Synchita humeralis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Zopheridae"	11077	"Synchita humeralis"	"Synchita humeralis (Fabricius, 1792)"	""			"LC"	""									
"-  ( Colydium elongatum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Zopheridae"	11084	"Colydium elongatum"	"Colydium elongatum (Fabricius, 1787)"	""			"LC"	""									
"-  ( Ogmoderes angusticollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bothrideridae"	11088	"Ogmoderes angusticollis"	"Ogmoderes angusticollis (C. Brisout de Barneville, 1862)"	""			"EN"	"B1ab(i,iii)"									
"-  ( Teredus cylindricus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bothrideridae"	11090	"Teredus cylindricus"	"Teredus cylindricus (Olivier, 1790)"	""			"VU"	"B1ab(i,iii)"									
"-  ( Cerylon histeroides )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerylonidae"	11096	"Cerylon histeroides"	"Cerylon histeroides (Fabricius, 1792)"	""			"LC"	""									
"Endomyche coccinelle  ( Endomychus coccineus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Endomychidae"	11099	"Endomychus coccineus"	"Endomychus coccineus (Linnaeus, 1758)"	"Endomyche coccinelle, Fausse coccinelle, Endomyque écarlate"			"LC"	""									
"Endomyche des vesses-de-loup  ( Lycoperdina bovistae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Endomychidae"	11101	"Lycoperdina bovistae"	"Lycoperdina bovistae (Fabricius, 1792)"	"Endomyche des vesses-de-loup"			"LC"	""									
"Latipalpe à dos plat  ( Latipalpis plana )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11281	"Latipalpis plana"	"Latipalpis plana (Olivier, 1790)"	"Latipalpe à dos plat"			"LC"	""									
"-  ( Dicerca aenea )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11285	"Dicerca aenea"	"Dicerca aenea (Linnaeus, 1761)"	""			"VU"	"B1ab(ii,iii,iv)"									
"-  ( Dicerca alni )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11286	"Dicerca alni"	"Dicerca alni (Fischer von Waldheim, 1824)"	""			"NT"	"pr. B1ab(ii,iii,iv)"									
"-  ( Poecilonota variolosa )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11288	"Poecilonota variolosa"	"Poecilonota variolosa (Paykull, 1799)"	""			"EN"	"B(1+2)ab(iii,iv)"									
"-  ( Kisanthobia ariasi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11301	"Kisanthobia ariasi"	"Kisanthobia ariasi (Robert, 1858)"	""			"EN"	"B(1+2)ab(iii)"									
"Bupreste hongrois  ( Anthaxia hungarica )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11306	"Anthaxia hungarica"	"Anthaxia hungarica (Scopoli, 1772)"	"Bupreste hongrois"			"LC"	""									
"-  ( Anthaxia cichorii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11307	"Anthaxia cichorii"	"Anthaxia cichorii (Olivier, 1790)"	""			"NT"	"pr. B1ab(iii)"									
"-  ( Anthaxia millefolii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11308	"Anthaxia millefolii"	"Anthaxia millefolii (Fabricius, 1801)"	""			"LC"	""									
"Anthaxie driver  ( Anthaxia manca )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11311	"Anthaxia manca"	"Anthaxia manca (Linnaeus, 1767)"	"Anthaxie driver, Richard hibou"			"VU"	"B2ab(i,ii,iii,iv)"									
"Anthaxie du Saule  ( Anthaxia salicis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11312	"Anthaxia salicis"	"Anthaxia salicis (Fabricius, 1777)"	"Anthaxie du Saule"			"LC"	""									
"-  ( Anthaxia morio )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11316	"Anthaxia morio"	"Anthaxia morio (Fabricius, 1792)"	""			"LC"	""									
"-  ( Anthaxia sepulchralis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11317	"Anthaxia sepulchralis"	"Anthaxia sepulchralis (Fabricius, 1801)"	""			"LC"	""									
"-  ( Anthaxia confusa )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11320	"Anthaxia confusa"	"Anthaxia confusa Gory, 1841"	""			"LC"	""									
"-  ( Anthaxia quadripunctata )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	11322	"Anthaxia quadripunctata"	"Anthaxia quadripunctata (Linnaeus, 1758)"	""			"LC"	""									
