"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Grand dytique  ( Dytiscus latissimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9569	"Dytiscus latissimus"	"Dytiscus latissimus Linnaeus, 1758"	"Grand dytique"					"CDH4, CDH2"	" "	"NI2"	""					
"-  ( Merohister ariasi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Histeridae"	10499	"Merohister ariasi"	"Merohister ariasi (Marseul, 1864)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers : Si populations importantes"
"Cerf-volant  ( Lucanus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	10502	"Lucanus cervus"	"Lucanus cervus (Linnaeus, 1758)"	"Cerf-volant (mâle), Biche (femelle), Lucane, Lucane cerf-volant"					"CDH2"	""							
"*  Bolbelasme à une corne  ( Bolbelasmus unicornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Geotrupidae"	10530	"Bolbelasmus unicornis"	"Bolbelasmus unicornis Schrank, 1789"	"Bolbelasme à une corne"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Thorectes geminatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Geotrupidae"	10556	"Thorectes geminatus"	"Thorectes geminatus (Gené, 1839)"	""													"Déterminante"
"-  ( Psammodius plicicollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10772	"Psammodius plicicollis"	"Psammodius plicicollis Erichson, 1848"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers : Si populations importantes"
"-  ( Scarabaeus sacer )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10804	"Scarabaeus sacer"	"Scarabaeus sacer Linnaeus, 1758"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers : Si populations importantes"
"-  ( Euoniticellus pallens )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10819	"Euoniticellus pallens"	"Euoniticellus pallens (Olivier, 1789)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Cheironitis irroratus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10829	"Cheironitis irroratus"	"Cheironitis irroratus (Rossi, 1790)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Onitis alexis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10834	"Onitis alexis"	"Onitis alexis Klug, 1835"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Pachypus candidae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10868	"Pachypus candidae"	"Pachypus candidae (Petagna, 1787)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Amphimallon atrum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10898	"Amphimallon atrum"	"Amphimallon atrum (Herbst, 1790)"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"-  ( Hoplia pubicollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10934	"Hoplia pubicollis"	"Hoplia pubicollis Küster, 1849"	""													"Déterminante"
"*  Pique-prune  ( Osmoderma eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10979	"Osmoderma eremita"	"Osmoderma eremita (Scopoli, 1763)"	"Pique-prune, Barbot"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Esolus brevis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elmidae"	11261	"Esolus brevis"	"Esolus brevis Kuwert, 1890"	""													"Déterminante"
"-  ( Athous corsicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11472	"Athous corsicus"	"Athous corsicus Reiche, 1861"	""													"Déterminante"
"-  ( Athous ineptus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	11473	"Athous ineptus"	"Athous ineptus Candèze, 1860"	""													"Taxon du niveau 2 : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF."
"*  Grand Capricorne  ( Cerambyx cerdo )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	12336	"Cerambyx cerdo"	"Cerambyx cerdo Linnaeus, 1758"	"Grand Capricorne (Le)"					"CDH2, CDH4"	" "	"NI2"	""					
"*  Rosalie des Alpes  ( Rosalia alpina )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	12348	"Rosalia alpina"	"Rosalia alpina (Linnaeus, 1758)"	"Rosalie des Alpes"					"CDH4, CDH2"	" "	"NI2"	""					"Déterminante"
"-  ( Pselactus spadix )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	14678	"Pselactus spadix"	"Pselactus spadix (Herbst, 1795)"	""													"Déterminante"
