"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Parethelcus pollinarius )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242681	"Parethelcus pollinarius"	"Parethelcus pollinarius (Forster, 1771)"	""			"LC"	""									
"-  ( Oprohinus suturalis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242683	"Oprohinus suturalis"	"Oprohinus suturalis (Fabricius, 1775)"	""			"LC"	""									
"-  ( Neoglocianus maculaalba )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242686	"Neoglocianus maculaalba"	"Neoglocianus maculaalba (Herbst, 1795)"	""			"LC"	""									
"-  ( Mogulones asperifoliarum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242694	"Mogulones asperifoliarum"	"Mogulones asperifoliarum (Gyllenhal, 1813)"	""			"LC"	""									
"-  ( Mogulones euphorbiae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242700	"Mogulones euphorbiae"	"Mogulones euphorbiae (C. Brisout de Barneville, 1866)"	""			"LC"	""									
"-  ( Mogulones larvatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242703	"Mogulones larvatus"	"Mogulones larvatus (Schultze, 1897)"	""			"LC"	""									
"-  ( Microplontus campestris )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242711	"Microplontus campestris"	"Microplontus campestris (Gyllenhal, 1837)"	""			"LC"	""									
"-  ( Microplontus rugulosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242717	"Microplontus rugulosus"	"Microplontus rugulosus (Herbst, 1795)"	""			"LC"	""									
"-  ( Glocianus distinctus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242723	"Glocianus distinctus"	"Glocianus distinctus (C. Brisout de Barneville, 1870)"	""			"LC"	""									
"-  ( Datonychus angulosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Curculionidae"	242730	"Datonychus angulosus"	"Datonychus angulosus (Boheman, 1845)"	""			"LC"	""									
